STA,Date,Precip,WindGustSpd,MaxTemp,MinTemp,MeanTemp,Snowfall,PoorWeather,YR,MO,DA,PRCP,DR,SPD,MAX,MIN,MEA,SNF,SND,FT,FB,FTI,ITH,PGT,TSHDSBRSGF,SD3,RHX,RHN,RVG,WTE
10001,1942-7-1,1.016,,25.55555556,22.22222222,23.88888889,0.0,,42,7,1,0.04,,,78.0,72.0,75.0,0.0,,,,,,,,,,,,
10001,1942-7-2,0,,28.88888889,21.66666667,25.55555556,0.0,,42,7,2,0,,,84.0,71.0,78.0,0.0,,,,,,,,,,,,
10001,1942-7-3,2.54,,26.11111111,22.22222222,24.44444444,0.0,,42,7,3,0.1,,,79.0,72.0,76.0,0.0,,,,,,,,,,,,
10001,1942-7-4,2.54,,26.66666667,22.22222222,24.44444444,0.0,,42,7,4,0.1,,,80.0,72.0,76.0,0.0,,,,,,,,,,,,
10001,1942-7-5,0,,26.66666667,21.66666667,24.44444444,0.0,,42,7,5,0,,,80.0,71.0,76.0,0.0,,,,,,,,,,,,
10001,1942-7-6,0,,26.66666667,21.66666667,24.44444444,0.0,,42,7,6,0,,,80.0,71.0,76.0,0.0,,,,,,,,,,,,
10001,1942-7-7,T,,28.33333333,22.77777778,25.55555556,0.0,,42,7,7,T,,,83.0,73.0,78.0,0.0,,,,,,,,,,,,
10001,1942-7-8,3.556,,26.66666667,22.22222222,24.44444444,0.0,,42,7,8,0.14,,,80.0,72.0,76.0,0.0,,,,,,,,,,,,
10001,1942-7-9,T,,27.22222222,22.77777778,25.0,0.0,,42,7,9,T,,,81.0,73.0,77.0,0.0,,,,,,,,,,,,
10001,1942-7-10,3.556,,25.55555556,21.66666667,23.33333333,0.0,,42,7,10,0.14,,,78.0,71.0,74.0,0.0,,,,,,,,,,,,
10001,1942-7-11,0,,25.55555556,21.66666667,23.33333333,0.0,,42,7,11,0,,,78.0,71.0,74.0,0.0,,,,,,,,,,,,
10001,1942-7-12,0.508,,24.44444444,22.22222222,23.33333333,0.0,,42,7,12,0.02,,,76.0,72.0,74.0,0.0,,,,,,,,,,,,
10001,1942-7-13,0,,26.11111111,21.66666667,23.88888889,0.0,,42,7,13,0,,,79.0,71.0,75.0,0.0,,,,,,,,,,,,
10001,1942-7-14,0,,26.11111111,22.22222222,24.44444444,0.0,,42,7,14,0,,,79.0,72.0,76.0,0.0,,,,,,,,,,,,
10001,1942-7-15,0,,25.55555556,22.77777778,24.44444444,0.0,,42,7,15,0,,,78.0,73.0,76.0,0.0,,,,,,,,,,,,
10001,1942-7-16,T,,26.11111111,21.11111111,23.33333333,0.0,,42,7,16,T,,,79.0,70.0,74.0,0.0,,,,,,,,,,,,
10001,1942-7-17,T,,28.33333333,22.22222222,25.55555556,0.0,,42,7,17,T,,,83.0,72.0,78.0,0.0,,,,,,,,,,,,
10001,1942-7-18,T,,26.66666667,21.11111111,23.88888889,0.0,,42,7,18,T,,,80.0,70.0,75.0,0.0,,,,,,,,,,,,
10001,1942-7-19,0,,27.77777778,21.66666667,24.44444444,0.0,,42,7,19,0,,,82.0,71.0,76.0,0.0,,,,,,,,,,,,
10001,1942-7-20,0,,26.11111111,20.0,23.33333333,0.0,,42,7,20,0,,,79.0,68.0,74.0,0.0,,,,,,,,,,,,
10001,1942-7-21,T,,24.44444444,21.66666667,23.33333333,0.0,,42,7,21,T,,,76.0,71.0,74.0,0.0,,,,,,,,,,,,
10001,1942-7-22,T,,24.44444444,21.11111111,22.77777778,0.0,,42,7,22,T,,,76.0,70.0,73.0,0.0,,,,,,,,,,,,
10001,1942-7-23,0,,26.66666667,20.55555556,23.33333333,0.0,,42,7,23,0,,,80.0,69.0,74.0,0.0,,,,,,,,,,,,
10001,1942-7-24,0,,27.22222222,18.88888889,23.33333333,0.0,,42,7,24,0,,,81.0,66.0,74.0,0.0,,,,,,,,,,,,
10001,1942-7-25,0,,27.22222222,19.44444444,23.33333333,0.0,,42,7,25,0,,,81.0,67.0,74.0,0.0,,,,,,,,,,,,
10001,1942-7-26,0,,25.55555556,19.44444444,22.22222222,0.0,,42,7,26,0,,,78.0,67.0,72.0,0.0,,,,,,,,,,,,
10001,1942-7-27,0,,25.55555556,19.44444444,22.77777778,0.0,,42,7,27,0,,,78.0,67.0,73.0,0.0,,,,,,,,,,,,
10001,1942-7-28,0,,26.66666667,19.44444444,23.33333333,0.0,,42,7,28,0,,,80.0,67.0,74.0,0.0,,,,,,,,,,,,
10001,1942-7-29,0,,26.66666667,19.44444444,23.33333333,0.0,,42,7,29,0,,,80.0,67.0,74.0,0.0,,,,,,,,,,,,
10001,1942-7-30,0,,27.22222222,19.44444444,23.33333333,0.0,,42,7,30,0,,,81.0,67.0,74.0,0.0,,,,,,,,,,,,
10001,1942-7-31,0,,27.22222222,19.44444444,23.33333333,0.0,,42,7,31,0,,,81.0,67.0,74.0,0.0,,,,,,,,,,,,
10001,1942-8-1,0,,26.11111111,20.0,23.33333333,0.0,,42,8,1,0,,,79.0,68.0,74.0,0.0,,,,,,,,,,,,
10001,1942-8-2,0,,24.44444444,20.55555556,22.22222222,0.0,,42,8,2,0,,,76.0,69.0,72.0,0.0,,,,,,,,,,,,
10001,1942-8-3,0,,24.44444444,20.55555556,22.22222222,0.0,,42,8,3,0,,,76.0,69.0,72.0,0.0,,,,,,,,,,,,
10001,1942-8-4,0,,26.66666667,21.11111111,23.88888889,0.0,,42,8,4,0,,,80.0,70.0,75.0,0.0,,,,,,,,,,,,
10001,1942-8-5,T,,26.66666667,21.11111111,23.88888889,0.0,,42,8,5,T,,,80.0,70.0,75.0,0.0,,,,,,,,,,,,
10001,1942-8-6,0,,24.44444444,21.66666667,23.33333333,0.0,,42,8,6,0,,,76.0,71.0,74.0,0.0,,,,,,,,,,,,
10001,1942-8-7,T,,24.44444444,21.11111111,22.77777778,0.0,,42,8,7,T,,,76.0,70.0,73.0,0.0,,,,,,,,,,,,
10001,1942-8-8,0,,26.11111111,20.55555556,23.33333333,0.0,,42,8,8,0,,,79.0,69.0,74.0,0.0,,,,,,,,,,,,
10001,1942-8-9,0,,26.11111111,20.55555556,23.33333333,0.0,,42,8,9,0,,,79.0,69.0,74.0,0.0,,,,,,,,,,,,
10001,1942-8-10,0,,27.22222222,21.66666667,24.44444444,0.0,,42,8,10,0,,,81.0,71.0,76.0,0.0,,,,,,,,,,,,
10001,1942-8-11,0,,25.0,21.66666667,23.33333333,0.0,,42,8,11,0,,,77.0,71.0,74.0,0.0,,,,,,,,,,,,
10001,1942-8-12,0,,25.55555556,20.55555556,23.33333333,0.0,,42,8,12,0,,,78.0,69.0,74.0,0.0,,,,,,,,,,,,
10001,1942-8-13,0,,25.55555556,20.55555556,23.33333333,0.0,,42,8,13,0,,,78.0,69.0,74.0,0.0,,,,,,,,,,,,
10001,1942-8-14,T,,25.55555556,20.0,22.77777778,0.0,,42,8,14,T,,,78.0,68.0,73.0,0.0,,,,,,,,,,,,
10001,1942-8-15,0.254,,25.55555556,17.77777778,21.66666667,0.0,,42,8,15,0.01,,,78.0,64.0,71.0,0.0,,,,,,,,,,,,
10001,1942-8-16,0,,25.55555556,19.44444444,22.22222222,0.0,,42,8,16,0,,,78.0,67.0,72.0,0.0,,,,,,,,,,,,
10001,1942-8-17,T,,25.55555556,20.0,22.77777778,0.0,,42,8,17,T,,,78.0,68.0,73.0,0.0,,,,,,,,,,,,
10001,1942-8-18,T,,26.11111111,20.55555556,23.33333333,0.0,,42,8,18,T,,,79.0,69.0,74.0,0.0,,,,,,,,,,,,
10001,1942-8-19,0,,27.77777778,20.55555556,24.44444444,0.0,,42,8,19,0,,,82.0,69.0,76.0,0.0,,,,,,,,,,,,
10001,1942-8-20,0.508,,23.88888889,20.55555556,22.22222222,0.0,,42,8,20,0.02,,,75.0,69.0,72.0,0.0,,,,,,,,,,,,
10001,1942-8-21,0.254,,32.77777778,20.0,23.33333333,0.0,,42,8,21,0.01,,,91.0,68.0,74.0,0.0,,,,,,,,,,,,
10001,1942-8-22,0,,27.22222222,20.55555556,23.33333333,0.0,,42,8,22,0,,,81.0,69.0,74.0,0.0,,,,,,,,,,,,
10001,1942-8-23,0,,25.0,20.55555556,22.77777778,0.0,,42,8,23,0,,,77.0,69.0,73.0,0.0,,,,,,,,,,,,
10001,1942-8-24,0,,27.77777778,20.55555556,24.44444444,0.0,,42,8,24,0,,,82.0,69.0,76.0,0.0,,,,,,,,,,,,
10001,1942-8-25,0,,26.66666667,20.0,23.33333333,0.0,,42,8,25,0,,,80.0,68.0,74.0,0.0,,,,,,,,,,,,
10001,1942-8-26,0,,27.22222222,20.55555556,23.88888889,0.0,,42,8,26,0,,,81.0,69.0,75.0,0.0,,,,,,,,,,,,
10001,1942-8-27,0,,27.22222222,20.55555556,23.88888889,0.0,,42,8,27,0,,,81.0,69.0,75.0,0.0,,,,,,,,,,,,
10001,1942-8-28,T,,27.22222222,20.55555556,23.88888889,0.0,,42,8,28,T,,,81.0,69.0,75.0,0.0,,,,,,,,,,,,
10001,1942-8-29,T,,25.0,21.11111111,23.33333333,0.0,,42,8,29,T,,,77.0,70.0,74.0,0.0,,,,,,,,,,,,
10001,1942-8-30,0,,27.22222222,20.55555556,23.88888889,0.0,,42,8,30,0,,,81.0,69.0,75.0,0.0,,,,,,,,,,,,
10001,1942-8-31,0,,27.22222222,21.11111111,23.88888889,0.0,,42,8,31,0,,,81.0,70.0,75.0,0.0,,,,,,,,,,,,
10001,1942-9-1,0.254,,27.22222222,21.11111111,24.44444444,0.0,,42,9,1,0.01,,,81.0,70.0,76.0,0.0,,,,,,,,,,,,
10001,1942-9-2,0.254,,27.22222222,22.22222222,25.0,0.0,,42,9,2,0.01,,,81.0,72.0,77.0,0.0,,,,,,,,,,,,
10001,1942-9-3,1.778,,27.22222222,21.11111111,24.44444444,0.0,,42,9,3,0.07,,,81.0,70.0,76.0,0.0,,,,,,,,,,,,
10001,1942-9-4,0,,27.22222222,21.11111111,24.44444444,0.0,,42,9,4,0,,,81.0,70.0,76.0,0.0,,,,,,,,,,,,
10001,1942-9-5,T,,27.22222222,22.22222222,24.44444444,0.0,,42,9,5,T,,,81.0,72.0,76.0,0.0,,,,,,,,,,,,
10001,1942-9-6,0,,26.66666667,22.22222222,24.44444444,0.0,,42,9,6,0,,,80.0,72.0,76.0,0.0,,,,,,,,,,,,
10001,1942-9-7,0.254,,26.66666667,21.66666667,24.44444444,0.0,,42,9,7,0.01,,,80.0,71.0,76.0,0.0,,,,,,,,,,,,
10001,1942-9-8,0,,27.22222222,21.11111111,24.44444444,0.0,,42,9,8,0,,,81.0,70.0,76.0,0.0,,,,,,,,,,,,
10001,1942-9-9,T,,26.66666667,21.66666667,24.44444444,0.0,,42,9,9,T,,,80.0,71.0,76.0,0.0,,,,,,,,,,,,
10001,1942-9-10,0,,28.33333333,21.11111111,24.44444444,0.0,,42,9,10,0,,,83.0,70.0,76.0,0.0,,,,,,,,,,,,
10001,1942-9-11,0,,26.11111111,21.11111111,23.33333333,0.0,,42,9,11,0,,,79.0,70.0,74.0,0.0,,,,,,,,,,,,
10001,1942-9-12,T,,27.22222222,21.66666667,24.44444444,0.0,,42,9,12,T,,,81.0,71.0,76.0,0.0,,,,,,,,,,,,
10001,1942-9-13,T,,27.22222222,21.66666667,24.44444444,0.0,,42,9,13,T,,,81.0,71.0,76.0,0.0,,,,,,,,,,,,
10001,1942-9-14,1.016,,27.77777778,22.77777778,25.55555556,0.0,,42,9,14,0.04,,,82.0,73.0,78.0,0.0,,,,,,,,,,,,
10001,1942-9-15,0,,27.77777778,22.77777778,25.55555556,0.0,,42,9,15,0,,,82.0,73.0,78.0,0.0,,,,,,,,,,,,
10001,1942-9-16,0,,30.0,21.66666667,25.55555556,0.0,,42,9,16,0,,,86.0,71.0,78.0,0.0,,,,,,,,,,,,
10001,1942-9-17,0,,27.77777778,22.22222222,25.0,0.0,,42,9,17,0,,,82.0,72.0,77.0,0.0,,,,,,,,,,,,
10001,1942-9-18,0,,31.11111111,21.11111111,26.11111111,0.0,,42,9,18,0,,,88.0,70.0,79.0,0.0,,,,,,,,,,,,
10001,1942-9-19,0,,34.44444444,22.22222222,28.33333333,0.0,,42,9,19,0,,,94.0,72.0,83.0,0.0,,,,,,,,,,,,
10001,1942-9-20,T,,30.55555556,21.66666667,26.11111111,0.0,,42,9,20,T,,,87.0,71.0,79.0,0.0,,,,,,,,,,,,
10001,1942-9-21,T,,29.44444444,22.22222222,26.11111111,0.0,,42,9,21,T,,,85.0,72.0,79.0,0.0,,,,,,,,,,,,
10001,1942-9-22,T,,30.55555556,22.22222222,26.66666667,0.0,,42,9,22,T,,,87.0,72.0,80.0,0.0,,,,,,,,,,,,
10001,1942-9-23,0.254,,26.11111111,23.33333333,25.0,0.0,,42,9,23,0.01,,,79.0,74.0,77.0,0.0,,,,,,,,,,,,
10001,1942-9-24,0,,25.55555556,22.22222222,23.88888889,0.0,,42,9,24,0,,,78.0,72.0,75.0,0.0,,,,,,,,,,,,
10001,1942-9-25,T,,30.55555556,21.66666667,26.11111111,0.0,,42,9,25,T,,,87.0,71.0,79.0,0.0,,,,,,,,,,,,
10001,1942-9-26,0,,31.66666667,22.22222222,27.22222222,0.0,,42,9,26,0,,,89.0,72.0,81.0,0.0,,,,,,,,,,,,
10001,1942-9-27,T,,31.66666667,21.11111111,26.66666667,0.0,,42,9,27,T,,,89.0,70.0,80.0,0.0,,,,,,,,,,,,
10001,1942-9-28,3.302,,32.22222222,20.55555556,26.11111111,0.0,,42,9,28,0.13,,,90.0,69.0,79.0,0.0,,,,,,,,,,,,
10001,1942-9-29,0.762,,27.77777778,22.22222222,25.0,0.0,,42,9,29,0.03,,,82.0,72.0,77.0,0.0,,,,,,,,,,,,
10001,1942-9-30,0,,29.44444444,22.22222222,26.11111111,0.0,,42,9,30,0,,,85.0,72.0,79.0,0.0,,,,,,,,,,,,
10001,1942-10-1,T,,31.11111111,23.33333333,27.22222222,0.0,,42,10,1,T,,,88.0,74.0,81.0,0.0,,,,,,,,,,,,
10001,1942-10-2,0,,31.11111111,22.77777778,27.22222222,0.0,,42,10,2,0,,,88.0,73.0,81.0,0.0,,,,,,,,,,,,
10001,1942-10-3,0,,31.11111111,22.22222222,26.66666667,0.0,,42,10,3,0,,,88.0,72.0,80.0,0.0,,,,,,,,,,,,
10001,1942-10-4,5.588,,27.22222222,21.11111111,23.88888889,0.0,,42,10,4,0.22,,,81.0,70.0,75.0,0.0,,,,,,,,,,,,
10001,1942-10-5,0,,31.11111111,22.22222222,26.66666667,0.0,,42,10,5,0,,,88.0,72.0,80.0,0.0,,,,,,,,,,,,
10001,1942-10-6,0.254,,29.44444444,22.22222222,25.55555556,0.0,,42,10,6,0.01,,,85.0,72.0,78.0,0.0,,,,,,,,,,,,
10001,1942-10-7,5.08,,29.44444444,22.77777778,26.11111111,0.0,,42,10,7,0.2,,,85.0,73.0,79.0,0.0,,,,,,,,,,,,
10001,1942-10-8,2.032,,28.88888889,20.55555556,25.0,0.0,,42,10,8,0.08,,,84.0,69.0,77.0,0.0,,,,,,,,,,,,
